province,region,weather_date,temperature,humidity,precipitation,wind_speed,pressure,weather_condition,source
Ha Noi,North,3/6/2025,15.3,69,2.5,22,1017.2,Moderate Drizzle,OpenMeteo
Ha Noi,North,3/7/2025,15.3,63,0.1,13.8,1018.9,Light Drizzle,OpenMeteo
Ha Noi,North,3/8/2025,16.2,73,0,9.9,1017.5,Overcast,OpenMeteo
Ha Noi,North,3/9/2025,17.9,82,0.1,9.7,1017.6,Light Drizzle,OpenMeteo
Ha Noi,North,3/10/2025,19.9,86,0.7,11.2,1016.4,Light Drizzle,OpenMeteo
Ha Noi,North,3/11/2025,21,89,0.3,16.6,1011.8,Light Drizzle,OpenMeteo
Ha Noi,North,3/12/2025,23.3,88,0.9,16,1008.6,Light Drizzle,OpenMeteo
Ha Noi,North,3/13/2025,23.4,91,1.7,17.2,1008,Light Drizzle,OpenMeteo
Ha Noi,North,3/14/2025,24.4,90,0.6,18.1,1008.2,Light Drizzle,OpenMeteo
Ha Noi,North,3/15/2025,23.6,84,1.9,20.8,1010.4,Light Drizzle,OpenMeteo
Ha Noi,North,3/16/2025,18.4,60,0.9,19,1017.6,Moderate Drizzle,OpenMeteo
Ha Noi,North,3/17/2025,17.6,61,0,12,1018,Overcast,OpenMeteo
Ha Noi,North,3/18/2025,17.2,58,0,15.8,1021.3,Overcast,OpenMeteo
Ha Noi,North,3/19/2025,18.1,56,0,15.1,1022.7,Overcast,OpenMeteo
Ha Noi,North,3/20/2025,18.3,63,0,10.9,1021.5,Overcast,OpenMeteo
Ha Noi,North,3/21/2025,19.1,63,0,11.8,1019.4,Overcast,OpenMeteo
Ha Noi,North,3/22/2025,19.6,72,0,13.3,1016.9,Overcast,OpenMeteo
Ha Noi,North,3/23/2025,20.9,80,0,14.3,1014.3,Overcast,OpenMeteo
Ha Noi,North,3/24/2025,22.4,78,0,15.9,1010.8,Overcast,OpenMeteo
Ha Noi,North,3/25/2025,23.9,78,0,16.7,1005.5,Overcast,OpenMeteo
Ha Noi,North,3/26/2025,24.1,81,0,18.6,1002.5,Overcast,OpenMeteo
Ha Noi,North,3/27/2025,25.6,83,0,18.5,999.6,Overcast,OpenMeteo
Ha Noi,North,3/28/2025,25.5,84,0.4,15.1,1003.9,Light Drizzle,OpenMeteo
Ha Noi,North,3/29/2025,17,79,9.7,22.3,1013.3,Moderate Rain,OpenMeteo
Ha Noi,North,3/30/2025,14.9,69,1,17.4,1018.6,Light Drizzle,OpenMeteo
Ha Noi,North,3/31/2025,15.2,63,0,11.3,1017.8,Overcast,OpenMeteo
Ha Noi,North,4/1/2025,17.9,62,0,8.7,1016.6,Overcast,OpenMeteo
Ha Noi,North,4/2/2025,19.1,73,0,8.4,1016.1,Overcast,OpenMeteo
Ha Noi,North,4/3/2025,20.2,71,0,15.9,1014.8,Overcast,OpenMeteo
Ha Noi,North,4/4/2025,21,82,0.2,20.1,1010.6,Light Drizzle,OpenMeteo
Ha Noi,North,4/5/2025,21.8,84,1.4,9.8,1011.3,Light Drizzle,OpenMeteo
Ha Noi,North,4/6/2025,22.9,83,1.2,13,1011.9,Moderate Drizzle,OpenMeteo
Ha Noi,North,4/7/2025,22.1,86,1,12.3,1013,Moderate Drizzle,OpenMeteo
Ha Noi,North,4/8/2025,23.2,88,0.7,15.2,1012,Light Drizzle,OpenMeteo
Ha Noi,North,4/9/2025,24.8,86,0.6,18.7,1008,Light Drizzle,OpenMeteo
Ha Noi,North,4/10/2025,24.8,87,0.9,17.9,1004.4,Light Drizzle,OpenMeteo
Ha Noi,North,4/11/2025,26,84,0.5,16.3,1002.2,Light Drizzle,OpenMeteo
Ha Noi,North,4/12/2025,26.2,74,9.7,24.8,1005.6,Moderate Rain,OpenMeteo
Ha Noi,North,4/13/2025,22.3,64,2,14.9,1014.5,Dense Drizzle,OpenMeteo
Ha Noi,North,4/14/2025,21.6,71,3.7,9.5,1012.4,Moderate Rain,OpenMeteo
Ha Noi,North,4/15/2025,24.1,66,0,13.3,1009.7,Overcast,OpenMeteo
Ha Noi,North,4/16/2025,24.1,69,0,20.5,1006.1,Overcast,OpenMeteo
Ha Noi,North,4/17/2025,26.2,80,0.1,18.3,1003.1,Light Drizzle,OpenMeteo
Ha Noi,North,4/18/2025,27.7,79,0.5,17.6,1002,Light Drizzle,OpenMeteo
Ha Noi,North,4/19/2025,29.5,74,0,18.5,1002.2,Overcast,OpenMeteo
Ha Noi,North,4/20/2025,28.9,77,0.1,18.6,1003.7,Light Drizzle,OpenMeteo
Ha Noi,North,4/21/2025,28.7,76,0,20.6,1005,Overcast,OpenMeteo
Ha Noi,North,4/22/2025,29.6,77,0,20.1,1004,Overcast,OpenMeteo
Ha Noi,North,4/23/2025,28.3,83,50,16.2,1002.7,Heavy Rain,OpenMeteo
Ha Noi,North,4/24/2025,28,82,6.3,14.9,1003.7,Moderate Rain,OpenMeteo
Ha Noi,North,4/25/2025,25.6,80,39.5,14.9,1007.9,Heavy Rain,OpenMeteo
Ha Noi,North,4/26/2025,26,86,0.2,16,1008,Light Drizzle,OpenMeteo
Ha Noi,North,4/27/2025,27.5,86,1.2,14.9,1007.2,Light Drizzle,OpenMeteo
Ha Noi,North,4/28/2025,25.4,88,28.3,15.3,1009.1,Heavy Rain,OpenMeteo
Ha Noi,North,4/29/2025,25.7,87,2.9,14.6,1009.4,Light Rain,OpenMeteo
Ha Noi,North,4/30/2025,26.4,87,11,12.2,1008.6,Moderate Rain,OpenMeteo
Ha Noi,North,5/1/2025,25.4,85,18.2,11.7,1011,Moderate Rain,OpenMeteo
Ha Noi,North,5/2/2025,26.8,79,0,13.6,1007.7,Overcast,OpenMeteo
Ha Noi,North,5/3/2025,27.3,82,0,15.1,1004.8,Overcast,OpenMeteo
Ha Noi,North,5/4/2025,28.7,83,0.7,19.6,1002.3,Light Drizzle,OpenMeteo
Ha Noi,North,5/5/2025,29.6,80,0,17.9,1001.7,Overcast,OpenMeteo
Ha Noi,North,5/6/2025,29.1,82,1,14.9,1002.4,Moderate Drizzle,OpenMeteo
Ha Noi,North,5/7/2025,29.7,82,0.8,16.8,1000.9,Light Drizzle,OpenMeteo
Ha Noi,North,5/8/2025,30.6,79,0.1,18.6,999.5,Light Drizzle,OpenMeteo
Ha Noi,North,5/9/2025,28.8,81,7.7,23.6,1002.7,Moderate Rain,OpenMeteo
Ha Noi,North,5/10/2025,26.8,85,24.8,25.1,1006,Moderate Rain,OpenMeteo
Ha Noi,North,5/11/2025,22.7,75,12.1,20.3,1009.8,Moderate Rain,OpenMeteo
Ha Noi,North,5/12/2025,23.5,70,0,13.2,1008,Overcast,OpenMeteo
Ha Noi,North,5/13/2025,25.1,78,0,17.1,1007.1,Overcast,OpenMeteo
Ha Noi,North,5/14/2025,26.5,86,4.7,14.8,1007.3,Light Rain,OpenMeteo
Ha Noi,North,5/15/2025,26.1,92,18,14.9,1007.3,Moderate Rain,OpenMeteo
Ha Noi,North,5/16/2025,27,92,18.5,13.2,1005.8,Moderate Rain,OpenMeteo
Ha Noi,North,5/17/2025,27.7,89,11.8,16.7,1005.7,Moderate Rain,OpenMeteo
Ha Noi,North,5/18/2025,27.5,89,20.7,10.8,1005.7,Heavy Rain,OpenMeteo
Ha Noi,North,5/19/2025,26.8,90,19.5,13.3,1004.5,Moderate Rain,OpenMeteo
Ha Noi,North,5/20/2025,28.8,86,4.2,17.9,1002.3,Light Rain,OpenMeteo
Ha Noi,North,5/21/2025,29.3,83,4.5,15.2,1002.5,Moderate Rain,OpenMeteo
Ha Noi,North,5/22/2025,28.7,85,11.3,16.1,1001.7,Moderate Rain,OpenMeteo
Ha Noi,North,5/23/2025,27.2,91,3.8,11.7,1003,Dense Drizzle,OpenMeteo
Ha Noi,North,5/24/2025,23.7,89,31.4,19.8,1008.5,Moderate Rain,OpenMeteo
Ha Noi,North,5/25/2025,24.1,71,0.3,17.3,1011.6,Light Drizzle,OpenMeteo
Ha Noi,North,5/26/2025,24.2,72,0,12.9,1011.5,Overcast,OpenMeteo
Ha Noi,North,5/27/2025,24.5,86,3.4,7.6,1008.8,Moderate Drizzle,OpenMeteo
Ha Noi,North,5/28/2025,27,86,6.2,13.2,1005.2,Moderate Rain,OpenMeteo
Ha Noi,North,5/29/2025,27,86,6.4,14.4,1004.8,Moderate Drizzle,OpenMeteo
Ha Noi,North,5/30/2025,26,85,17.3,14.4,1004.7,Moderate Rain,OpenMeteo
Ha Noi,North,5/31/2025,29.3,81,0.2,16.3,1001.1,Light Drizzle,OpenMeteo
Ha Noi,North,6/1/2025,32,70,0,16.1,996.6,Overcast,OpenMeteo
Ha Noi,North,6/2/2025,32.3,66,0.2,13.7,996.8,Light Drizzle,OpenMeteo
